Quarter,Sales,Time,D1,D2,D3
Q1-86,1735,1,1,0,0
Q2-86,2245,2,0,1,0
Q3-86,2534,3,0,0,1
Q4-86,2155,4,0,0,0
Q1-87,1548,5,1,0,0
Q2-87,2104,6,0,1,0
Q3-87,2014,7,0,0,1
Q4-87,1992,8,0,0,0
Q1-88,1869,9,1,0,0
Q2-88,2314,10,0,1,0
Q3-88,2128,11,0,0,1
Q4-88,2027,12,0,0,0
Q1-89,1911,13,1,0,0
Q2-89,2331,14,0,1,0
Q3-89,2207,15,0,0,1
Q4-89,2174,16,0,0,0
Q1-90,2148,17,1,0,0
Q2-90,2739,18,0,1,0
Q3-90,2793,19,0,0,1
Q4-90,2556,20,0,0,0
Q1-91,2481,21,1,0,0
Q2-91,3040,22,0,1,0
Q3-91,3172,23,0,0,1
Q4-91,2879,24,0,0,0
Q1-92,2772,25,1,0,0
Q2-92,3550,26,0,1,0
Q3-92,3508,27,0,0,1
Q4-92,3244,28,0,0,0
Q1-93,3056,29,1,0,0
Q2-93,3899,30,0,1,0
Q3-93,3629,31,0,0,1
Q4-93,3373,32,0,0,0
Q1-94,3352,33,1,0,0
Q2-94,4342,34,0,1,0
Q3-94,4461,35,0,0,1
Q4-94,4017,36,0,0,0
Q1-95,3854,37,1,0,0
Q2-95,4936,38,0,1,0
Q3-95,4895,39,0,0,1
Q4-95,4333,40,0,0,0
Q1-96,4194,41,1,0,0
Q2-96,5253,42,0,1,0
Q3-96,4656,43,0,0,1
Q4-96,4443,44,0,0,0
Q1-97,4138,45,1,0,0
Q2-97,5075,46,0,1,0
Q3-97,4954,47,0,0,1
Q4-97,4701,48,0,0,0
Q1-98,4457,49,1,0,0
Q2-98,5151,50,0,1,0
Q3-98,4747,51,0,0,1
Q4-98,4458,52,0,0,0